Fp1_mean,Fp1_standard_deviation,Fp1_variance,Fp1_peak_to_peak,Fp1_skewness,Fp1_kurtosis
6.14779495742327e-09,6.14779495742327e-09,6.14779495742327e-09,6.14779495742327e-09,6.14779495742327e-09,6.14779495742327e-09
7.08191503730875e-09,7.08191503730875e-09,7.08191503730875e-09,7.08191503730875e-09,7.08191503730875e-09,7.08191503730875e-09
7.660626010961604e-09,7.660626010961604e-09,7.660626010961604e-09,7.660626010961604e-09,7.660626010961604e-09,7.660626010961604e-09
7.503065231683508e-09,7.503065231683508e-09,7.503065231683508e-09,7.503065231683508e-09,7.503065231683508e-09,7.503065231683508e-09
7.178072134301655e-09,7.178072134301655e-09,7.178072134301655e-09,7.178072134301655e-09,7.178072134301655e-09,7.178072134301655e-09
7.593202674694486e-09,7.593202674694486e-09,7.593202674694486e-09,7.593202674694486e-09,7.593202674694486e-09,7.593202674694486e-09
6.016715809635836e-09,6.016715809635836e-09,6.016715809635836e-09,6.016715809635836e-09,6.016715809635836e-09,6.016715809635836e-09
5.6886404187859715e-09,5.6886404187859715e-09,5.6886404187859715e-09,5.6886404187859715e-09,5.6886404187859715e-09,5.6886404187859715e-09
7.66119823372874e-09,7.66119823372874e-09,7.66119823372874e-09,7.66119823372874e-09,7.66119823372874e-09,7.66119823372874e-09
7.227312721870654e-09,7.227312721870654e-09,7.227312721870654e-09,7.227312721870654e-09,7.227312721870654e-09,7.227312721870654e-09
8.652014189649509e-09,8.652014189649509e-09,8.652014189649509e-09,8.652014189649509e-09,8.652014189649509e-09,8.652014189649509e-09
9.824108775532647e-09,9.824108775532647e-09,9.824108775532647e-09,9.824108775532647e-09,9.824108775532647e-09,9.824108775532647e-09
7.059758521506106e-09,7.059758521506106e-09,7.059758521506106e-09,7.059758521506106e-09,7.059758521506106e-09,7.059758521506106e-09
7.279705564735083e-09,7.279705564735083e-09,7.279705564735083e-09,7.279705564735083e-09,7.279705564735083e-09,7.279705564735083e-09
8.176231901593788e-09,8.176231901593788e-09,8.176231901593788e-09,8.176231901593788e-09,8.176231901593788e-09,8.176231901593788e-09
8.321896487410492e-09,8.321896487410492e-09,8.321896487410492e-09,8.321896487410492e-09,8.321896487410492e-09,8.321896487410492e-09
6.364264325191166e-09,6.364264325191166e-09,6.364264325191166e-09,6.364264325191166e-09,6.364264325191166e-09,6.364264325191166e-09
8.105201192269289e-09,8.105201192269289e-09,8.105201192269289e-09,8.105201192269289e-09,8.105201192269289e-09,8.105201192269289e-09
7.673488206173254e-09,7.673488206173254e-09,7.673488206173254e-09,7.673488206173254e-09,7.673488206173254e-09,7.673488206173254e-09
1.0432871443903031e-08,1.0432871443903031e-08,1.0432871443903031e-08,1.0432871443903031e-08,1.0432871443903031e-08,1.0432871443903031e-08
7.307265280492671e-09,7.307265280492671e-09,7.307265280492671e-09,7.307265280492671e-09,7.307265280492671e-09,7.307265280492671e-09
7.167665302013592e-09,7.167665302013592e-09,7.167665302013592e-09,7.167665302013592e-09,7.167665302013592e-09,7.167665302013592e-09
7.289673261155488e-09,7.289673261155488e-09,7.289673261155488e-09,7.289673261155488e-09,7.289673261155488e-09,7.289673261155488e-09
7.951775436860563e-09,7.951775436860563e-09,7.951775436860563e-09,7.951775436860563e-09,7.951775436860563e-09,7.951775436860563e-09
1.0255199425219879e-08,1.0255199425219879e-08,1.0255199425219879e-08,1.0255199425219879e-08,1.0255199425219879e-08,1.0255199425219879e-08
6.874299721071591e-09,6.874299721071591e-09,6.874299721071591e-09,6.874299721071591e-09,6.874299721071591e-09,6.874299721071591e-09
7.673207726230948e-09,7.673207726230948e-09,7.673207726230948e-09,7.673207726230948e-09,7.673207726230948e-09,7.673207726230948e-09
6.851757628561061e-09,6.851757628561061e-09,6.851757628561061e-09,6.851757628561061e-09,6.851757628561061e-09,6.851757628561061e-09
9.56924234687132e-09,9.56924234687132e-09,9.56924234687132e-09,9.56924234687132e-09,9.56924234687132e-09,9.56924234687132e-09
6.660770494260172e-09,6.660770494260172e-09,6.660770494260172e-09,6.660770494260172e-09,6.660770494260172e-09,6.660770494260172e-09
6.914255919624914e-09,6.914255919624914e-09,6.914255919624914e-09,6.914255919624914e-09,6.914255919624914e-09,6.914255919624914e-09
6.3741585682560595e-09,6.3741585682560595e-09,6.3741585682560595e-09,6.3741585682560595e-09,6.3741585682560595e-09,6.3741585682560595e-09
7.1229775697468086e-09,7.1229775697468086e-09,7.1229775697468086e-09,7.1229775697468086e-09,7.1229775697468086e-09,7.1229775697468086e-09
9.308956145543231e-09,9.308956145543231e-09,9.308956145543231e-09,9.308956145543231e-09,9.308956145543231e-09,9.308956145543231e-09
6.462919980067323e-09,6.462919980067323e-09,6.462919980067323e-09,6.462919980067323e-09,6.462919980067323e-09,6.462919980067323e-09
6.978180561740265e-09,6.978180561740265e-09,6.978180561740265e-09,6.978180561740265e-09,6.978180561740265e-09,6.978180561740265e-09
7.4251732991584605e-09,7.4251732991584605e-09,7.4251732991584605e-09,7.4251732991584605e-09,7.4251732991584605e-09,7.4251732991584605e-09
6.686576676912993e-09,6.686576676912993e-09,6.686576676912993e-09,6.686576676912993e-09,6.686576676912993e-09,6.686576676912993e-09
7.533415648932574e-09,7.533415648932574e-09,7.533415648932574e-09,7.533415648932574e-09,7.533415648932574e-09,7.533415648932574e-09
9.51432041778543e-09,9.51432041778543e-09,9.51432041778543e-09,9.51432041778543e-09,9.51432041778543e-09,9.51432041778543e-09
8.396760846036445e-09,8.396760846036445e-09,8.396760846036445e-09,8.396760846036445e-09,8.396760846036445e-09,8.396760846036445e-09
7.526280492163047e-09,7.526280492163047e-09,7.526280492163047e-09,7.526280492163047e-09,7.526280492163047e-09,7.526280492163047e-09
8.656330266983836e-09,8.656330266983836e-09,8.656330266983836e-09,8.656330266983836e-09,8.656330266983836e-09,8.656330266983836e-09
8.651179587574892e-09,8.651179587574892e-09,8.651179587574892e-09,8.651179587574892e-09,8.651179587574892e-09,8.651179587574892e-09
7.47988095459929e-09,7.47988095459929e-09,7.47988095459929e-09,7.47988095459929e-09,7.47988095459929e-09,7.47988095459929e-09
6.702347705662452e-09,6.702347705662452e-09,6.702347705662452e-09,6.702347705662452e-09,6.702347705662452e-09,6.702347705662452e-09
7.2430574811750294e-09,7.2430574811750294e-09,7.2430574811750294e-09,7.2430574811750294e-09,7.2430574811750294e-09,7.2430574811750294e-09
7.066106800306667e-09,7.066106800306667e-09,7.066106800306667e-09,7.066106800306667e-09,7.066106800306667e-09,7.066106800306667e-09
5.141398814648361e-09,5.141398814648361e-09,5.141398814648361e-09,5.141398814648361e-09,5.141398814648361e-09,5.141398814648361e-09
8.016029733933048e-09,8.016029733933048e-09,8.016029733933048e-09,8.016029733933048e-09,8.016029733933048e-09,8.016029733933048e-09
7.1438094103003175e-09,7.1438094103003175e-09,7.1438094103003175e-09,7.1438094103003175e-09,7.1438094103003175e-09,7.1438094103003175e-09
